Plant ,genotype,flat,pot,age_weeks,Height_mm
40,WT,5,5_4,6,560
36,48/48,5,5_5,6,420
37,WT,5,5_6,6,510
30,48/48,5,5_7,6,520
7,48/48,5,5_8,6,520
48,WT,6,6_1,6,500
5,48/48,6,6_2,6,450
17,48/48,6,6_3,6,480
21,WT,6,6_4,6,565
41,WT,6,6_5,6,555
11,48/48,6,6_6,6,585
27,WT,6,6_7,6,510
46,WT,6,6_8,6,550
15,48/48,1,1_1,7,700
23,WT,1,1_2,7,700
9,48/48,1,1_3,7,740
45,WT,1,1_4,7,675
43,WT,1,1_5,7,740
6,48/48,1,1_6,7,790
2,WT,1,1_7,7,720
32,WT,1,1_8,7,680
26,WT,2,2_1,7,770
28,WT,2,2_2,7,690
13,48/48,2,2_3,7,670
42,WT,2,2_4,7,760
24,WT,2,2_5,7,720
29,WT,2,2_6,7,710
10,48/48,2,2_7,7,590
3,48/48,2,2_8,7,630
22,WT,3,3_1,7,640
44,WT,3,3_2,7,700
38,WT,3,3_3,7,660
14,48/48,3,3_4,7,580
1,48/48,3,3_5,7,590
16,48/48,3,3_6,7,640
35,WT,3,3_7,7,670
25,WT,3,3_8,7,660
47,WT,4,4_1,7,635
12,48/48,4,4_2,7,610
20,WT,4,4_3,7,590
33,WT,4,4_4,7,610
19,48/48,4,4_5,7,600
39,WT,4,4_6,7,670
4,48/48,4,4_7,7,580
31,WT,4,4_8,7,635
18,48/48,5,5_1,7,670
34,WT,5,5_2,7,740
8,48/48,5,5_3,7,660
40,WT,5,5_4,7,690
36,48/48,5,5_5,7,645
37,WT,5,5_6,7,675
30,48/48,5,5_7,7,625
7,48/48,5,5_8,7,645
48,WT,6,6_1,7,640
5,48/48,6,6_2,7,590
17,48/48,6,6_3,7,610
21,WT,6,6_4,7,640
41,WT,6,6_5,7,670
11,48/48,6,6_6,7,740
27,WT,6,6_7,7,620
46,WT,6,6_8,7,665
15,48/48,1,1_1,9,870
23,WT,1,1_2,9,880
9,48/48,1,1_3,9,810
45,WT,1,1_4,9,875
43,WT,1,1_5,9,950
6,48/48,1,1_6,9,900
2,WT,1,1_7,9,850
32,WT,1,1_8,9,850
26,WT,2,2_1,9,910
28,WT,2,2_2,9,900
13,48/48,2,2_3,9,830
42,WT,2,2_4,9,810
24,WT,2,2_5,9,810
29,WT,2,2_6,9,820
10,48/48,2,2_7,9,800
3,48/48,2,2_8,9,775
22,WT,3,3_1,9,730
44,WT,3,3_2,9,770
38,WT,3,3_3,9,810
14,48/48,3,3_4,9,800
1,48/48,3,3_5,9,710
16,48/48,3,3_6,9,790
35,WT,3,3_7,9,790
25,WT,3,3_8,9,780
47,WT,4,4_1,9,750
12,48/48,4,4_2,9,740
20,WT,4,4_3,9,710
33,WT,4,4_4,9,730
19,48/48,4,4_5,9,690
39,WT,4,4_6,9,800
4,48/48,4,4_7,9,710
31,WT,4,4_8,9,710
18,48/48,5,5_1,9,710
34,WT,5,5_2,9,870
8,48/48,5,5_3,9,780
40,WT,5,5_4,9,795
36,48/48,5,5_5,9,730
37,WT,5,5_6,9,800
30,48/48,5,5_7,9,800
7,48/48,5,5_8,9,820
48,WT,6,6_1,9,810
5,48/48,6,6_2,9,750
17,48/48,6,6_3,9,730
21,WT,6,6_4,9,785
41,WT,6,6_5,9,790
11,48/48,6,6_6,9,830
27,WT,6,6_7,9,780
46,WT,6,6_8,9,760
